TOMATO SOUP,150.0,170.0,210.0,170.0,150.0
CHICKEN LUNGGUNG SOUP,160.0,180.0,210.0,180.0,160.0
CHICKEN DRUMSTICK BONES,380.0,400.0,430.0,400.0,380.0
CHICKEN WINS BONES,380.0,400.0,430.0,400.0,380.0
CHILLI WINGS BONES,380.0,400.0,430.0,400.0,380.0
CHICKEN LOLLIPOP BONES,390.0,410.0,440.0,410.0,390.0
CHICKEN CURRY B/L,370.0,390.0,420.0,390.0,370.0
ANDHRA CHICKEN CURRY B/L,370.0,390.0,420.0,390.0,370.0
KADAI CHICKEN CURRY B/L,370.0,390.0,430.0,390.0,370.0
MOGHALAI CHICKEN CURRY B/L,410.0,430.0,460.0,430.0,410.0
BUTTER CHICKEN CURRY B/L,390.0,410.0,440.0,410.0,390.0
KASHMIRI CHICKEN CURRY B/L,360.0,380.0,410.0,380.0,360.0
V GRAND SPL CREAM OF CHICKEN SOUP,190.0,210.0,240.0,210.0,190.0
CHICKEN MAHARANI CURRY B/L,400.0,420.0,450.0,420.0,400.0
Item,10.0,10.0,10.0,10.0,10.0
Onion Ritha,35.0,35.0,40.0,35.0,35.0
Pulpy Orange 250 Ml,35.0,35.0,40.0,35.0,35.0
Thumsup 250 Ml,25.0,20.0,25.0,25.0,25.0
Sprite 250 Ml,25.0,20.0,25.0,25.0,25.0
Coca Cola 250 Ml,25.0,20.0,25.0,25.0,25.0
Limca 250 Ml,25.0,20.0,25.0,25.0,25.0
Fanta 250 Ml,25.0,25.0,25.0,25.0,25.0
Soda 250 Ml,20.0,20.0,20.0,20.0,20.0
Soda 750 Ml,40.0,40.0,40.0,40.0,40.0
Thumsup 600 Ml,50.0,55.0,50.0,55.0,50.0
Sprite 600 Ml,50.0,55.0,55.0,55.0,50.0
Today Spl Fish,399.0,419.0,480.0,419.0,390.0
Mixed Non Veg Biryani,479.0,499.0,550.0,499.0,470.0
Pulpy Orange 1 Ltr,100.0,110.0,110.0,110.0,100.0
Fresh Lime Soda Salt,70.0,90.0,110.0,90.0,0.0
Fresh Lime Soda Sweet,70.0,90.0,110.0,90.0,0.0
Fresh Lime Soda Sweet And Salt,80.0,100.0,110.0,100.0,0.0
Mojitho,110.0,120.0,140.0,120.0,0.0
Moctail,99.0,110.0,130.0,110.0,0.0
Spl Curd Rice 1/2,220.0,240.0,270.0,240.0,220.0
Today Spl Tandoori Fish Bone,370.0,390.0,420.0,390.0,370.0
ToDay Spl Chicken Chinese Bl,410.0,430.0,460.0,430.0,410.0
Today Spl Chicken Chinese Bone,380.0,400.0,430.0,400.0,380.0
Chicken Fry Bones,320.0,340.0,370.0,340.0,320.0
Velvet Egg,230.0,250.0,280.0,250.0,230.0
Curd Rice 1/2,180.0,200.0,230.0,200.0,180.0
Sambar Rice,170.0,190.0,220.0,190.0,170.0
Plain Curd,40.0,50.0,60.0,50.0,0.0
Egg Rost,120.0,140.0,170.0,140.0,120.0
Groundnut Masala,230.0,250.0,280.0,250.0,230.0
Chicken Sweet Corn Soup 1/2,190.0,210.0,240.0,210.0,190.0
Chicken Manchow 1/2,190.0,210.0,240.0,210.0,0.0
Veg Manchow 1/2,180.0,200.0,230.0,200.0,0.0
Cashew Nut Fried Rice,310.0,330.0,360.0,330.0,310.0
Butter Milk,70.0,80.0,90.0,80.0,70.0
Peppar Chicken B/L,400.0,420.0,450.0,420.0,400.0
Egg Fry,200.0,220.0,250.0,220.0,200.0
Teachers 50 30Ml,280.0,300.0,0.0,300.0,0.0
Shewan Chicken Fried Rice,320.0,340.0,370.0,340.0,320.0
Today Spi Chicken Curry Bl,400.0,420.0,450.0,420.0,400.0
Shezwan Egg Noodles,310.0,330.0,360.0,330.0,310.0
Mushroom Fry,260.0,280.0,310.0,280.0,260.0
Shezwan Egg Fried Rice,290.0,310.0,340.0,310.0,290.0
Egg Keema Curry,250.0,270.0,300.0,270.0,250.0
Onion Pakoda,210.0,230.0,260.0,230.0,210.0
Bira White,450.0,470.0,0.0,470.0,0.0
Chicken Hot And Sour 1/2,190.0,210.0,240.0,210.0,0.0
Veg Salad,110.0,130.0,160.0,130.0,110.0
Monster,170.0,170.0,170.0,170.0,170.0
V Granad Spi Chi Pulav,280.0,300.0,330.0,300.0,280.0
Today Spl Chicken Curry Bones,410.0,430.0,460.0,430.0,410.0
Rayalaseema Chicken Biryani,410.0,430.0,460.0,430.0,410.0
Cocktail 499,499.0,499.0,0.0,499.0,0.0
Cocktail 389,389.0,399.0,0.0,399.0,0.0
Chocklet Ice Cream,100.0,120.0,130.0,120.0,100.0
Charged,25.0,25.0,0.0,25.0,25.0
Chivas Regal,350.0,370.0,380.0,370.0,0.0
Veg Sweet Corn Soup 1/2,180.0,200.0,230.0,200.0,0.0
Ginger Egg,200.0,220.0,250.0,220.0,200.0
Tin Thums Up,70.0,80.0,80.0,80.0,50.0
British Empire Whisky,58.0,68.0,0.0,68.0,0.0
Mixed Non Veg Friedrice,430.0,450.0,480.0,450.0,430.0
Sweet Lassi,80.0,74.0,100.0,90.0,80.0
Butter Scotch Ice Cream,100.0,120.0,130.0,120.0,0.0
Fruit Punch,210.0,230.0,250.0,230.0,0.0
American Dry Fruite Ice Cream,125.0,140.0,150.0,140.0,0.0
Cashew Paneer Curry,310.0,330.0,360.0,330.0,310.0
Todat Spl Chicken Biryani,410.0,430.0,460.0,430.0,410.0
Today Spl Chicken Biryani,420.0,440.0,470.0,440.0,420.0
Thumsup 2Ltr,170.0,0.0,0.0,0.0,0.0
Conference Hall Charge,0.0,1000.0,0.0,0.0,0.0
Projector 1,0.0,3500.0,2000.0,0.0,0.0
HALL CHARGE,0.0,5000.0,2500.0,0.0,0.0
Projector 3,0.0,2500.0,3000.0,0.0,0.0
Absolut Vodka 30Ml,170.0,180.0,185.0,180.0,0.0
Kodi Pulav Fry,330.0,350.0,370.0,350.0,330.0
Vanilla Ice Cream,85.0,100.0,110.0,100.0,0.0
Strawberry Ice Cream,85.0,100.0,110.0,100.0,0.0
Pistha Ice Cream,100.0,120.0,130.0,120.0,0.0
Mango Ice Cream,100.0,120.0,130.0,120.0,0.0
Black Current Ice Cream,100.0,120.0,130.0,120.0,0.0
Italian Bounty Ice Cream,125.0,140.0,150.0,140.0,0.0
Caramel Nuts Ice Cream,125.0,140.0,150.0,140.0,0.0
Carlsberg,430.0,450.0,480.0,450.0,260.0
Natu Kodi Fry,520.0,540.0,570.0,540.0,520.0
Natu Kodi Pulusu,520.0,540.0,570.0,540.0,520.0
Natu Kodi Biryani,520.0,540.0,570.0,540.0,520.0
Vanila Milk Shake,140.0,150.0,160.0,150.0,140.0
Butterscoch Milk Shake,160.0,175.0,185.0,175.0,160.0
Strawberry Milk Shake,140.0,150.0,160.0,150.0,140.0
Chocolate Milk Shake,160.0,175.0,185.0,175.0,160.0
CASHEWNUT CHICKEN CURRY B/L,390.0,410.0,440.0,410.0,390.0
Pista Milk Shake,160.0,175.0,185.0,175.0,160.0
Mango Milk Shake,160.0,175.0,185.0,175.0,160.0
Black Current Milk Shake,160.0,175.0,185.0,175.0,160.0
American Dry Fruit Milk Shake,180.0,200.0,210.0,200.0,180.0
Italian Bounty Milk Shake,180.0,200.0,210.0,200.0,180.0
Caramel Nuts Milk Shake,180.0,200.0,210.0,200.0,180.0
Ragi Mudha Mutton Curry,520.0,540.0,570.0,540.0,520.0
Ragi Mudha With Nattukodi Curry,540.0,560.0,590.0,560.0,540.0
Imperial Blue,48.0,58.0,60.0,58.0,0.0
Mc Wiskey 30Ml,48.0,58.0,60.0,58.0,0.0
Veg Hot And Sour Soup 1/2,180.0,200.0,230.0,200.0,180.0
Mutton Soup,200.0,220.0,250.0,220.0,200.0
Mutton Soup 1/2,220.0,240.0,270.0,240.0,220.0
Bira White Small 330 Ml,250.0,260.0,0.0,260.0,0.0
Black Dog Whisky 30 Ml,169.0,179.0,185.0,179.0,0.0
Royal Challenge Whisky 30 Ml,61.0,71.0,75.0,71.0,0.0
Plain Dosa,30.0,30.0,45.0,30.0,0.0
Masala Omlet,100.0,110.0,130.0,110.0,100.0
Red Label 30Ml,183.0,193.0,195.0,193.0,0.0
Black And White 30Ml,162.0,162.0,165.0,162.0,105.0
Signature 30Ml,94.0,100.0,105.0,100.0,0.0
Ballantines 30Ml,173.0,183.0,185.0,183.0,0.0
Vat 69 30Ml,146.0,146.0,0.0,146.0,0.0
Johnnie Blonde 30Ml,273.0,280.0,285.0,280.0,0.0
Black Label,330.0,350.0,360.0,350.0,0.0
Dal Fry,280.0,300.0,330.0,300.0,280.0
Dal Thadaka,280.0,300.0,330.0,300.0,280.0
V Grand Spl Veg Soup,180.0,200.0,230.0,200.0,180.0
Today Spl Veg Indian,280.0,300.0,330.0,300.0,280.0
Today Spl Egg,230.0,250.0,280.0,250.0,230.0
Chilli Chicken Bones,330.0,350.0,380.0,350.0,330.0
Chicken 65 Bones,330.0,350.0,380.0,350.0,330.0
Star Chicken B/L,390.0,410.0,440.0,410.0,390.0
Today Spl Prawns Cheness,460.0,480.0,510.0,480.0,460.0
Today Spl Prawns Indian,460.0,480.0,510.0,480.0,460.0
Chilli Mutton,520.0,540.0,570.0,540.0,520.0
Basket Chicken B/L,380.0,400.0,430.0,400.0,380.0
Paneer Tikka Masala,370.0,390.0,420.0,390.0,370.0
Aloo Gobi Masala,230.0,250.0,280.0,250.0,230.0
Today Spl Veg Curry,270.0,290.0,320.0,290.0,270.0
Budweiser Magnum Beer,495.0,510.0,550.0,510.0,300.0
Budweiser Beer,450.0,460.0,490.0,460.0,270.0
Veg Dragon Soup 1/2,180.0,200.0,230.0,200.0,180.0
Chicken Dragon Soup 1/2,190.0,210.0,240.0,210.0,0.0
Thumsup 1Ltr,100.0,100.0,100.0,100.0,100.0
Garelu With Chicken Carry Bones,410.0,430.0,460.0,430.0,410.0
Garelu With Mutton Curry,580.0,600.0,630.0,600.0,580.0
Mc Brandy 30Ml,45.0,50.0,0.0,50.0,0.0
Bira Glod Beer,450.0,470.0,0.0,470.0,0.0
Today Spl Veg Tandoori,350.0,370.0,400.0,370.0,350.0
Karjura Beer,350.0,360.0,0.0,360.0,0.0
Gulabjamun,70.0,80.0,90.0,80.0,70.0
Gulabjamun With Ice Cream,110.0,120.0,130.0,120.0,110.0
Today Spl Prawns Biryani,460.0,480.0,510.0,480.0,460.0
Today Spl Mutton Biryani,520.0,540.0,570.0,540.0,520.0
Today Spl Fish Biryani,430.0,450.0,480.0,450.0,430.0
Today Spl Kheema Biryani,520.0,540.0,570.0,540.0,520.0
Special Item,199.0,0.0,0.0,0.0,0.0
Coolberg,160.0,160.0,0.0,160.0,0.0
Gold Label 30Ml,560.0,560.0,570.0,560.0,0.0
Thumsup 740Ml,50.0,55.0,55.0,55.0,50.0
Morpheus Blue Brandy 30Ml,90.0,100.0,0.0,100.0,0.0
Nalli Gosht Mutton Biryani 1 Piece,470.0,490.0,520.0,490.0,470.0
Nalli Gosht Mutton Biryani 2 Pieces,610.0,630.0,660.0,630.0,610.0
Bacardi Cranberry,260.0,270.0,270.0,270.0,160.0
Mudhapapu Avakaya Annam,180.0,200.0,230.0,200.0,180.0
Buffet,0.0,400.0,0.0,0.0,0.0
Mixed Veg Friedrice,290.0,310.0,330.0,310.0,0.0
Schezwan Mixed Veg Friedrice,300.0,320.0,340.0,320.0,0.0
Hall Charges,0.0,2000.0,1000.0,2000.0,0.0
Budweiser Tin Beer,300.0,320.0,340.0,320.0,180.0
Deal Of The Day 149,149.0,0.0,0.0,0.0,0.0
Deal Of The Day 79,79.0,0.0,0.0,0.0,0.0
Leg Peppar Fry Bones,430.0,450.0,470.0,450.0,430.0
Legacy Whisky 30Ml,90.0,100.0,100.0,100.0,0.0
Royal Stag Barrel 30Ml,63.0,73.0,0.0,73.0,0.0
Bonda Lime,139.0,149.0,149.0,149.0,0.0
Today Spl Veg Biryani,319.0,329.0,340.0,329.0,319.0
Smirnoff Orange Vodka 30Ml,78.0,88.0,88.0,88.0,0.0
Mc Vsop Brandy 30Ml,48.0,58.0,58.0,58.0,0.0
Jamson 30Ml,195.0,205.0,220.0,205.0,0.0
Antiquity Blue 30Ml,93.0,103.0,103.0,103.0,0.0
Chicken Fry Biryani Family Pack,710.0,750.0,790.0,750.0,710.0
Chicken Dum Biryani Family Pack,680.0,720.0,770.0,720.0,680.0
Sp Biryani Family Pack,710.0,750.0,790.0,720.0,710.0
Water 300Ml,15.0,15.0,15.0,15.0,15.0
Elite Wine 30Ml,55.0,65.0,75.0,65.0,0.0
Chicken Pakoda B/L,319.0,329.0,350.0,329.0,319.0
Hydarabad Blue 180Ml,0.0,0.0,0.0,0.0,170.0
CHICKEN AFGHANI CURRY B/L,370.0,390.0,420.0,390.0,370.0
Morpheus 180Ml,0.0,0.0,0.0,0.0,310.0
Nepoleon Red 750Ml,0.0,0.0,0.0,0.0,940.0
Nepoleon Green 750Ml,0.0,0.0,0.0,0.0,1190.0
Napoleon Green 750Ml,0.0,0.0,0.0,0.0,1190.0
Mansion House 180Ml,0.0,0.0,0.0,0.0,230.0
Kyron 750Ml,0.0,0.0,0.0,0.0,1120.0
Mansion House 750Ml,0.0,0.0,0.0,0.0,790.0
Oab 180Ml,0.0,0.0,0.0,0.0,140.0
Vat69 180Ml,0.0,0.0,0.0,0.0,550.0
Vat69 375Ml,0.0,0.0,0.0,0.0,1160.0
Vat69 750Ml,0.0,0.0,0.0,0.0,2230.0
Red Label 750Ml,0.0,0.0,0.0,0.0,2760.0
Johnnie Blonde 750Ml,0.0,0.0,0.0,0.0,3820.0
Black Dog 180Ml,0.0,0.0,0.0,0.0,650.0
Black Dog 750Ml,0.0,0.0,0.0,0.0,2560.0
Mc Whisky 180Ml,0.0,0.0,0.0,0.0,220.0
Mc Whisky 750Ml,0.0,0.0,0.0,0.0,740.0
Mc Brandy 180Ml,0.0,0.0,0.0,0.0,200.0
Mc Brandy 750Ml,0.0,0.0,0.0,0.0,700.0
Royal Stag 180Ml,0.0,0.0,0.0,0.0,230.0
Royal Stag 375Ml,0.0,0.0,0.0,0.0,440.0
Royal Stag 750Ml,0.0,0.0,0.0,0.0,870.0
Royal Challenge 180Ml,0.0,0.0,0.0,0.0,230.0
Royal Challenge 750Ml,0.0,0.0,0.0,0.0,860.0
Morpheus 180Ml,0.0,0.0,0.0,0.0,310.0
Morpheus 375Ml,0.0,0.0,0.0,0.0,570.0
Morpheus 750Ml,0.0,0.0,0.0,0.0,1090.0
Royal Stag Barrel 750Ml,0.0,0.0,0.0,0.0,950.0
Bp 180Ml,0.0,0.0,0.0,0.0,340.0
Bp 750Ml,0.0,0.0,0.0,0.0,1350.0
Magic Moments Orange 750Ml,0.0,0.0,0.0,0.0,910.0
Magic Moments Green 750Ml,0.0,0.0,0.0,0.0,910.0
Smirnoff Orange 180Ml,0.0,0.0,0.0,0.0,300.0
Smirnoff Orange 750Ml,0.0,0.0,0.0,0.0,1190.0
Absolut 180Ml,0.0,0.0,0.0,0.0,660.0
Absolut 750Ml,0.0,0.0,0.0,0.0,2590.0
Ballanties 750Ml,0.0,0.0,0.0,0.0,2640.0
Teachers 750Ml,0.0,0.0,0.0,0.0,2440.0
Legacy 750Ml,0.0,0.0,0.0,0.0,1340.0
Black & White 750Ml,0.0,0.0,0.0,0.0,2410.0
William Lawsons 750Ml,0.0,0.0,0.0,0.0,2200.0
Black Label 750Ml,0.0,0.0,0.0,0.0,5050.0
100 Pipers 750Ml,0.0,0.0,4500.0,0.0,2520.0
Morpheus Blue 750Ml,0.0,0.0,0.0,0.0,1360.0
Cnb Green 180Ml,0.0,0.0,0.0,0.0,310.0
Cnb Green 750Ml,0.0,0.0,0.0,0.0,1200.0
Cnb Red 180Ml,0.0,0.0,0.0,0.0,240.0
Cnb Red 750Ml,0.0,0.0,0.0,0.0,940.0
Signature 180Ml,0.0,0.0,0.0,0.0,330.0
Signature 750Ml,0.0,0.0,0.0,0.0,1340.0
Old Monk 750Ml,0.0,0.0,0.0,0.0,850.0
B7 Whisky 750Ml,0.0,0.0,0.0,0.0,730.0
B10 Whisky 750Ml,0.0,0.0,0.0,0.0,1240.0
CHICKEN CURRY BONES,350.0,370.0,400.0,370.0,350.0
Oc Whisky 180Ml,0.0,0.0,0.0,0.0,170.0
Hydarabad Blue 180Ml,0.0,0.0,0.0,0.0,170.0
Whytehall 180Ml,0.0,0.0,0.0,0.0,170.0
Chivas Regal 750Ml,0.0,0.0,0.0,0.0,5240.0
Black & Gold 750Ml,0.0,0.0,0.0,0.0,730.0
Mc Vsop 750Ml,0.0,0.0,0.0,0.0,730.0
Britesh Wh 750Ml,0.0,0.0,0.0,0.0,890.0
Kyra Wine 750Ml,0.0,0.0,0.0,0.0,830.0
Sidus Wine 750Ml,0.0,0.0,0.0,0.0,640.0
Elite Wine 750Ml,0.0,0.0,0.0,0.0,830.0
Im Whisky 180Ml,0.0,0.0,0.0,0.0,220.0
Im Whisky 375Ml,0.0,0.0,0.0,0.0,390.0
